<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GOOGL,5,20120106,100000,653.7600000,654.7900000,653.7600000,654.6700000,2879
GOOGL,5,20120106,100500,654.4500000,654.7500000,654.2000000,654.4800000,5975
GOOGL,5,20120106,101000,654.0400000,654.2100000,652.9500000,653.8200000,3120
GOOGL,5,20120106,101500,653.8300000,653.8300000,653.0200000,653.0200000,3463
GOOGL,5,20120106,102000,653.0300000,653.5000000,652.5600000,652.5600000,4260
GOOGL,5,20120106,102500,652.3200000,653.2300000,651.7800000,653.0000000,6030
GOOGL,5,20120106,103000,653.0000000,653.1100000,652.6600000,652.7000000,2707
GOOGL,5,20120106,103500,652.7400000,654.0000000,652.7400000,654.0000000,2700
GOOGL,5,20120106,104000,654.1300000,654.1300000,653.4100000,653.7000000,2600
GOOGL,5,20120106,104500,653.3300000,653.6800000,653.2400000,653.6800000,3454
GOOGL,5,20120106,105000,653.7600000,654.5300000,653.6800000,654.5300000,7342
GOOGL,5,20120106,105500,654.5500000,655.0000000,654.4400000,654.8800000,7934
GOOGL,5,20120106,110000,654.9600000,655.1100000,654.1000000,654.1200000,3559
GOOGL,5,20120106,110500,654.2400000,654.6000000,654.1900000,654.2200000,1500
GOOGL,5,20120106,111000,654.2000000,654.4100000,653.9900000,654.4100000,2500
GOOGL,5,20120106,111500,654.4700000,654.4700000,654.0150000,654.0700000,1200
GOOGL,5,20120106,112000,654.2200000,654.2900000,653.8500000,653.8500000,1523
GOOGL,5,20120106,112500,653.6800000,653.7100000,653.5000000,653.5000000,2300
GOOGL,5,20120106,113000,653.6100000,653.8800000,653.5500000,653.8800000,800
GOOGL,5,20120106,113500,653.7500000,654.4100000,653.7500000,654.4100000,2300
GOOGL,5,20120106,114000,654.0800000,654.0800000,653.6000000,653.6800000,1748
GOOGL,5,20120106,114500,653.7000000,654.4800000,653.5900000,654.4800000,2651
GOOGL,5,20120106,115000,654.2200000,654.4700000,654.1000000,654.4700000,2200
GOOGL,5,20120106,115500,654.7600000,655.0600000,654.7000000,654.7000000,1300
GOOGL,5,20120106,120000,654.7900000,654.7900000,654.5100000,654.5100000,800
GOOGL,5,20120106,120500,654.4000000,654.4800000,654.2500000,654.4000000,700
GOOGL,5,20120106,121000,654.3000000,654.3700000,654.1100000,654.1500000,900
GOOGL,5,20120106,121500,654.0300000,654.3900000,654.0300000,654.1700000,1800
GOOGL,5,20120106,122000,654.4550000,654.4800000,654.4300000,654.4500000,500
GOOGL,5,20120106,122500,654.4300000,654.6200000,654.1900000,654.2600000,1400
GOOGL,5,20120106,123000,654.4200000,654.4200000,654.2700000,654.3100000,400
GOOGL,5,20120106,123500,654.3600000,654.5500000,654.3600000,654.5500000,780
GOOGL,5,20120106,124000,654.7100000,654.7100000,654.2900000,654.2900000,1000
GOOGL,5,20120106,124500,654.2700000,654.2700000,653.7300000,653.7300000,800
GOOGL,5,20120106,125000,653.6200000,653.6200000,652.8500000,652.8500000,3451
GOOGL,5,20120106,125500,652.7500000,652.7600000,652.5000000,652.5000000,2000
GOOGL,5,20120106,130000,652.9800000,653.2500000,652.8000000,653.1900000,900
GOOGL,5,20120106,130500,653.2500000,653.5900000,653.2500000,653.5000000,1400
GOOGL,5,20120106,131000,653.3000000,653.6200000,653.3000000,653.3200000,1197
GOOGL,5,20120106,131500,653.2800000,653.2800000,652.5200000,652.5200000,2370
GOOGL,5,20120106,132000,652.5100000,652.9500000,652.4100000,652.9500000,2200
GOOGL,5,20120106,132500,652.8600000,652.8900000,652.6200000,652.6500000,900
GOOGL,5,20120106,133000,652.5800000,652.6000000,652.5000000,652.5000000,780
GOOGL,5,20120106,133500,652.7500000,652.8600000,652.3700000,652.3800000,2630
GOOGL,5,20120106,134000,652.3300000,652.8050000,652.3300000,652.8050000,1100
GOOGL,5,20120106,134500,653.0700000,653.4500000,653.0700000,653.1900000,1000
GOOGL,5,20120106,135000,653.2200000,653.2200000,652.4900000,652.6900000,6140
GOOGL,5,20120106,135500,653.2000000,653.2000000,652.5800000,652.9800000,2900
GOOGL,5,20120106,140000,652.9250000,653.6100000,652.3300000,652.5300000,5924
GOOGL,5,20120106,140500,652.7000000,652.9200000,652.7000000,652.9200000,400
GOOGL,5,20120106,141000,653.2200000,653.4100000,653.0300000,653.2500000,2220
GOOGL,5,20120106,141500,653.0300000,653.0800000,652.7600000,653.0800000,1700
GOOGL,5,20120106,142000,653.1800000,653.2600000,653.0000000,653.0000000,1600
GOOGL,5,20120106,142500,653.0000000,653.0000000,652.8000000,653.0000000,2400
GOOGL,5,20120106,143000,652.5900000,652.6200000,652.5200000,652.5900000,800
GOOGL,5,20120106,143500,652.6400000,652.6400000,652.2400000,652.2700000,1493
GOOGL,5,20120106,144000,652.2000000,652.2450000,651.8600000,652.2300000,2274
GOOGL,5,20120106,144500,652.1400000,652.2200000,651.4200000,651.6100000,3400
GOOGL,5,20120106,145000,651.3800000,651.7000000,651.3700000,651.4900000,2376
GOOGL,5,20120106,145500,651.3900000,651.8500000,651.3900000,651.8500000,3234
GOOGL,5,20120106,150000,652.0600000,652.1900000,651.8200000,651.8200000,1500
GOOGL,5,20120106,150500,651.8800000,651.9000000,651.5800000,651.6900000,2260
GOOGL,5,20120106,151000,651.7400000,651.9700000,651.6800000,651.7800000,4338
GOOGL,5,20120106,151500,651.7500000,651.7500000,650.5650000,650.5650000,5963
GOOGL,5,20120106,152000,650.7500000,650.8000000,649.8900000,650.8000000,3925
GOOGL,5,20120106,152500,650.6300000,651.1000000,650.6300000,650.9200000,3727
GOOGL,5,20120106,153000,651.0100000,651.0100000,650.4600000,650.8100000,5015
GOOGL,5,20120106,153500,650.8000000,651.0100000,650.4100000,650.4100000,2387
GOOGL,5,20120106,154000,650.5800000,650.9000000,650.5400000,650.7000000,2600
GOOGL,5,20120106,154500,650.8400000,650.9700000,650.5500000,650.5500000,2525
GOOGL,5,20120106,155000,650.4500000,650.5500000,650.0500000,650.0500000,4168
GOOGL,5,20120106,155500,650.1000000,650.3500000,650.0500000,650.1600000,8623
GOOGL,5,20120106,160000,650.1100000,650.2000000,649.8100000,649.9800000,6570
GOOGL,5,20120109,093500,646.5100000,646.7100000,642.1400000,645.2000000,7950
GOOGL,5,20120109,094000,644.9250000,644.9250000,640.2400000,641.8800000,8393
GOOGL,5,20120109,094500,641.8800000,641.8800000,640.2700000,640.6500000,9429
GOOGL,5,20120109,095000,640.6600000,640.7500000,637.5400000,638.6300000,15634
GOOGL,5,20120109,095500,638.7600000,640.1600000,638.5200000,639.7900000,9115
GOOGL,5,20120109,100000,639.6800000,639.6900000,638.7600000,638.8400000,8142
GOOGL,5,20120109,100500,638.8000000,638.8100000,637.6500000,637.6500000,8558
GOOGL,5,20120109,101000,637.7500000,638.5200000,637.6000000,638.4800000,3829
GOOGL,5,20120109,101500,638.6200000,638.7900000,637.6100000,638.7900000,6872
GOOGL,5,20120109,102000,639.0800000,639.7000000,638.5100000,638.5100000,5763
GOOGL,5,20120109,102500,637.9700000,638.3400000,636.3000000,637.0200000,5510
GOOGL,5,20120109,103000,637.3500000,637.3500000,636.6300000,636.8900000,5285
GOOGL,5,20120109,103500,636.8500000,636.9100000,632.3800000,632.3800000,11571
